S,city,district,neighborhood,room,livingroom,area,age,floor,price
0,ankara,cankaya,harbiye,3,1,110,30,1,33000
1,canakkale,merkez,barbaros,1,1,55,5,4,17000
2,ankara,golbasi,incek,1,1,55,0,1,25250
3,ankara,yenimahalle,isinlar,4,1,160,15,3,35000
4,antalya,dosemealti,ciplakli,2,1,95,12,2,18000
5,ankara,sincan,torekent,3,1,158,5,6,39750
6,antalya,konyaalti,uncali,5,1,275,15,8,62000
7,izmir,bornova,kazimdirik,3,1,124,0,5,75000
8,ankara,etimesgut,sehit-osman-avci,1,1,65,9,2,22900
9,denizli,merkezefendi,adalet,3,1,170,20,4,18000
10,izmir,konak,mimar-sinan,3,1,150,16,1,40000
11,mugla,fethiye,oludeniz,2,1,130,21,2,39000
12,istanbul,bahcelievler,siyavuspasa,3,1,110,37,3,35000
13,ankara,cankaya,naci-cakir,3,1,115,28,0,24000
14,izmir,karabaglar,yurdoglu,3,1,100,30,2,19000
15,ankara,polatli,fatih,3,1,165,15,2,25000
16,kastamonu,merkez,mehmet-akif-ersoy,3,1,128,0,4,15000
17,antalya,manavgat,sarilar,2,1,85,0,2,35000
18,istanbul,cekmekoy,alemdag,2,1,74,6,5,36750
19,izmir,bornova,meric,3,1,115,20,2,18000
20,izmir,karabaglar,doganay,3,1,150,15,6,45000
21,ankara,etimesgut,baglica,4,1,175,10,5,46000
22,aydin,kusadasi,ikicesmelik,4,1,200,5,5,40000
23,istanbul,kartal,atalar,2,1,85,0,0,34000
24,ankara,yenimahalle,yeni-bati,4,1,192,0,12,48000
25,canakkale,ayvacik,kucukkuyu-mihli,2,1,94,10,0,22000
26,ankara,mamak,kutlu,3,1,150,18,1,19000
27,ankara,cankaya,mesrutiyet,3,1,130,20,3,37000
28,istanbul,beylikduzu,gurpinar,2,1,100,2,3,37500
29,ankara,kecioren,guclukaya,3,1,110,30,1,22000
30,afyonkarahisar,merkez,erenler,2,0,48,5,5,10000
31,balikesir,burhaniye,kocacami,3,1,135,11,3,26000
32,istanbul,silivri,mimar-sinan,2,1,106,5,1,25500
33,mersin,tarsus,sehitmustafa,3,3,175,20,6,21000
34,eskisehir,odunpazari,arifiye,4,1,174,24,5,25000
35,afyonkarahisar,merkez,istiklal,2,1,136,15,1,13000
36,ankara,kecioren,ayvali,1,1,45,2,3,40000
37,adana,saricam,gultepe,2,1,80,5,3,15000
38,istanbul,bakirkoy,osmaniye,2,1,100,12,4,45000
39,izmir,selcuk,ataturk,3,1,200,16,0,250000
40,istanbul,pendik,esenyali,2,1,90,1,3,22000
41,ankara,cankaya,yukari-dikmen,4,1,195,25,7,45000
42,denizli,merkezefendi,gultepe,1,1,60,2,2,16000
43,sakarya,serdivan,kemalpasa,2,1,85,20,-3,15000
44,kocaeli,kartepe,fatih-sultan-mehmet,3,1,165,6,2,25000
45,bursa,mudanya,guzelyali-siteler,2,1,110,30,3,15000
46,bolu,merkez,dagkent,2,1,100,10,5,12000
47,kocaeli,derince,cenedag,2,1,90,4,3,21000
48,bolu,merkez,dagkent,2,1,100,10,5,12000
49,amasya,merzifon,harmanlar,3,1,135,20,2,13000
50,istanbul,sancaktepe,meclis,2,1,96,5,1,28000
51,ankara,yenimahalle,carsi,2,1,110,23,3,27000
52,karaman,merkez,elmasehir,3,1,180,1,1,38000
53,hatay,dortyol,sanayi,3,1,175,11,2,25000
54,balikesir,altieylul,gaziosmanpasa,1,1,52,0,3,25000
55,antalya,muratpasa,caglayan,3,1,175,20,8,49000
56,izmir,urla,icmeler,3,1,250,14,2,150000
57,aydin,soke,yenikent,2,1,90,10,2,25000
58,izmir,aliaga,siteler,3,1,135,0,1,35000
59,istanbul,sultanbeyli,necip-fazil,3,1,130,0,6,27500
60,ankara,yenimahalle,yeni-bati,3,1,115,28,1,27000
61,mersin,tarsus,ataturk,3,1,130,0,4,18500
62,izmir,karsiyaka,semikler,3,1,130,3,9,52000
63,ankara,yenimahalle,ergenekon,3,1,120,25,1,22000
64,ankara,cankaya,cayyolu,3,0,150,20,2,43000
65,bursa,osmangazi,panayir,1,1,85,9,2,27000
66,bolu,mudurnu,taskesti-karacasumandira,1,1,72,2,2,16000
67,aydin,kusadasi,kadinlar-denizi,3,1,165,8,5,45000
68,mugla,fethiye,oludeniz,2,12,120,5,0,60000
69,ankara,yenimahalle,demetgul,3,1,130,22,2,26500
70,kibris,girne,karakum,3,1,128,9,2,2300
71,mugla,bodrum,eskicesme,3,1,110,14,5,45000
72,kibris,girne,karakum,3,1,128,9,2,2300
73,antalya,kemer,goynuk,4,1,250,6,2,160000
74,samsun,atakum,korfez,1,1,55,0,2,14000
75,ankara,kecioren,19-mayis,3,1,120,30,1,17000
76,ordu,altinordu,durugol,1,1,90,1,7,25000
77,izmir,urla,icmeler,1,1,70,20,5,35000
78,konya,selcuklu,sancak,3,1,175,5,0,35000
79,istanbul,beykoz,gumussuyu,2,1,120,25,3,50000
80,ankara,sincan,yunus-emre,3,1,120,25,2,25000
81,ankara,cankaya,dodurga,1,1,36,1,9,19000
82,istanbul,atasehir,icerenkoy,3,1,145,22,4,48000
83,ankara,kecioren,yukseltepe,3,1,135,10,2,29000
84,balikesir,bandirma,pasamescit,2,0,65,0,3,15000
85,ankara,cankaya,isci-bloklari,3,1,129,30,6,37500
86,adana,saricam,elif-su-uludag,3,1,120,5,3,16000
87,tekirdag,corlu,muhittin,4,1,185,28,5,26000
88,hatay,dortyol,numune-evler,4,1,200,11,2,28000
89,bursa,nilufer,cumhuriyet,3,1,150,14,3,34000
90,denizli,pamukkale,zeytinkoy,2,1,39,4,2,12000
91,edirne,merkez,cumhuriyet,1,1,60,1,3,20000
