city,district,neighborhood,room,livingroom,area,age,floor,price
ankara,cankaya,harbiye,3,1,110,30,1,33000
canakkale,merkez,barbaros,1,1,55,5,4,17000
ankara,golbasi,incek,1,1,55,0,1,25250
ankara,yenimahalle,isinlar,4,1,160,15,3,35000
antalya,dosemealti,ciplakli,2,1,95,12,2,18000
ankara,sincan,torekent,3,1,158,5,6,39750
ankara,etimesgut,sehit-osman-avci,1,1,65,9,2,22900
denizli,merkezefendi,adalet,3,1,170,20,4,18000
izmir,konak,mimar-sinan,3,1,150,16,1,40000
mugla,fethiye,oludeniz,2,1,130,21,2,39000
istanbul,bahcelievler,siyavuspasa,3,1,110,37,3,35000
ankara,cankaya,naci-cakir,3,1,115,28,0,24000
izmir,karabaglar,yurdoglu,3,1,100,30,2,19000
ankara,polatli,fatih,3,1,165,15,2,25000
kastamonu,merkez,mehmet-akif-ersoy,3,1,128,0,4,15000
antalya,manavgat,sarilar,2,1,85,0,2,35000
istanbul,cekmekoy,alemdag,2,1,74,6,5,36750
izmir,bornova,meric,3,1,115,20,2,18000
izmir,karabaglar,doganay,3,1,150,15,6,45000
ankara,etimesgut,baglica,4,1,175,10,5,46000
aydin,kusadasi,ikicesmelik,4,1,200,5,5,40000
istanbul,kartal,atalar,2,1,85,0,0,34000
canakkale,ayvacik,kucukkuyu-mihli,2,1,94,10,0,22000
ankara,mamak,kutlu,3,1,150,18,1,19000
ankara,cankaya,mesrutiyet,3,1,130,20,3,37000
istanbul,beylikduzu,gurpinar,2,1,100,2,3,37500
ankara,kecioren,guclukaya,3,1,110,30,1,22000
balikesir,burhaniye,kocacami,3,1,135,11,3,26000
istanbul,silivri,mimar-sinan,2,1,106,5,1,25500
eskisehir,odunpazari,arifiye,4,1,174,24,5,25000
afyonkarahisar,merkez,istiklal,2,1,136,15,1,13000
ankara,kecioren,ayvali,1,1,45,2,3,40000
adana,saricam,gultepe,2,1,80,5,3,15000
istanbul,bakirkoy,osmaniye,2,1,100,12,4,45000
istanbul,pendik,esenyali,2,1,90,1,3,22000
ankara,cankaya,yukari-dikmen,4,1,195,25,7,45000
denizli,merkezefendi,gultepe,1,1,60,2,2,16000
sakarya,serdivan,kemalpasa,2,1,85,20,-3,15000
kocaeli,kartepe,fatih-sultan-mehmet,3,1,165,6,2,25000
bursa,mudanya,guzelyali-siteler,2,1,110,30,3,15000
bolu,merkez,dagkent,2,1,100,10,5,12000
kocaeli,derince,cenedag,2,1,90,4,3,21000
bolu,merkez,dagkent,2,1,100,10,5,12000
amasya,merzifon,harmanlar,3,1,135,20,2,13000
istanbul,sancaktepe,meclis,2,1,96,5,1,28000
ankara,yenimahalle,carsi,2,1,110,23,3,27000
karaman,merkez,elmasehir,3,1,180,1,1,38000
hatay,dortyol,sanayi,3,1,175,11,2,25000
balikesir,altieylul,gaziosmanpasa,1,1,52,0,3,25000
antalya,muratpasa,caglayan,3,1,175,20,8,49000
aydin,soke,yenikent,2,1,90,10,2,25000
izmir,aliaga,siteler,3,1,135,0,1,35000
istanbul,sultanbeyli,necip-fazil,3,1,130,0,6,27500
ankara,yenimahalle,yeni-bati,3,1,115,28,1,27000
mersin,tarsus,ataturk,3,1,130,0,4,18500
ankara,yenimahalle,ergenekon,3,1,120,25,1,22000
bursa,osmangazi,panayir,1,1,85,9,2,27000
bolu,mudurnu,taskesti-karacasumandira,1,1,72,2,2,16000
aydin,kusadasi,kadinlar-denizi,3,1,165,8,5,45000
ankara,yenimahalle,demetgul,3,1,130,22,2,26500
mugla,bodrum,eskicesme,3,1,110,14,5,45000
samsun,atakum,korfez,1,1,55,0,2,14000
ankara,kecioren,19-mayis,3,1,120,30,1,17000
ordu,altinordu,durugol,1,1,90,1,7,25000
izmir,urla,icmeler,1,1,70,20,5,35000
konya,selcuklu,sancak,3,1,175,5,0,35000
istanbul,beykoz,gumussuyu,2,1,120,25,3,50000
ankara,sincan,yunus-emre,3,1,120,25,2,25000
istanbul,atasehir,icerenkoy,3,1,145,22,4,48000
ankara,kecioren,yukseltepe,3,1,135,10,2,29000
ankara,cankaya,isci-bloklari,3,1,129,30,6,37500
adana,saricam,elif-su-uludag,3,1,120,5,3,16000
tekirdag,corlu,muhittin,4,1,185,28,5,26000
hatay,dortyol,numune-evler,4,1,200,11,2,28000
bursa,nilufer,cumhuriyet,3,1,150,14,3,34000
denizli,pamukkale,zeytinkoy,2,1,39,4,2,12000
edirne,merkez,cumhuriyet,1,1,60,1,3,20000
ankara,etimesgut,yeni-baglica,3,1,160,15,6,39000
hatay,dortyol,numune-evler,4,1,200,11,2,28000
bursa,nilufer,cumhuriyet,3,1,150,14,3,34000
ankara,cankaya,isci-bloklari,3,1,129,30,6,37500
istanbul,beylikduzu,baris,3,1,170,20,7,30000
kayseri,develi,harman,2,1,100,5,5,14000
istanbul,kucukcekmece,cumhuriyet,3,1,130,35,3,25000
